epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,1780.5,0.37121,0.47499,0.91135,0.99248,1,0.995,0.9599,0.252,0.49895,0.80545,0.000799454,0.000799454,0.000799454
91,1799.97,0.30857,0.48562,0.87917,0.9946,1,0.995,0.96321,0.25414,0.49359,0.80605,0.00079238,0.00079238,0.00079238
92,1819.11,0.30487,0.52079,0.87553,0.99488,1,0.995,0.96487,0.27178,0.47078,0.80291,0.000785307,0.000785307,0.000785307
93,1838.85,0.29818,0.45306,0.89343,0.9941,0.99402,0.995,0.96667,0.26428,0.45809,0.80011,0.000778233,0.000778233,0.000778233
94,1858.15,0.31181,0.45639,0.86112,0.99779,0.99014,0.995,0.97255,0.25197,0.46434,0.79707,0.00077116,0.00077116,0.00077116
95,1878.04,0.35915,0.46514,0.95431,0.99771,0.99034,0.995,0.96936,0.23974,0.44748,0.79508,0.000764086,0.000764086,0.000764086
96,1898.04,0.28266,0.46067,0.86742,0.99625,1,0.995,0.96913,0.26205,0.4556,0.79651,0.000757013,0.000757013,0.000757013
97,1917.3,0.28421,0.45414,0.86467,0.99642,1,0.995,0.96884,0.23515,0.46534,0.79156,0.000749939,0.000749939,0.000749939
98,1937.2,0.2734,0.43354,0.84436,0.99601,1,0.995,0.96614,0.24056,0.44993,0.79021,0.000742866,0.000742866,0.000742866
99,1957.91,0.2491,0.43593,0.83083,0.99681,1,0.995,0.96463,0.23101,0.43754,0.7891,0.000735792,0.000735792,0.000735792
100,1978.18,0.33443,0.47061,0.96234,0.99665,1,0.995,0.96662,0.2214,0.42684,0.79125,0.000728719,0.000728719,0.000728719
101,1997.8,0.27525,0.48035,0.85373,0.99697,0.99936,0.995,0.96544,0.212,0.40434,0.79049,0.000721645,0.000721645,0.000721645
102,2017.32,0.26638,0.43596,0.87663,0.99618,0.9973,0.995,0.9671,0.20107,0.41714,0.78797,0.000714571,0.000714571,0.000714571
103,2037.02,0.26405,0.40461,0.84781,0.99503,0.99404,0.995,0.96468,0.20247,0.4143,0.78973,0.000707498,0.000707498,0.000707498
104,2056.11,0.28174,0.42199,0.86232,0.99483,0.99486,0.995,0.9639,0.24479,0.42322,0.79914,0.000700424,0.000700424,0.000700424
105,2075.74,0.28902,0.40847,0.85735,0.99593,0.99818,0.995,0.97321,0.23316,0.41092,0.79729,0.000693351,0.000693351,0.000693351
106,2095.3,0.33107,0.57446,0.87786,0.99634,1,0.995,0.97023,0.20654,0.40672,0.79141,0.000686277,0.000686277,0.000686277
107,2115.05,0.25784,0.41078,0.86563,0.99705,1,0.995,0.96858,0.20767,0.40207,0.7916,0.000679204,0.000679204,0.000679204
108,2134.97,0.25821,0.40118,0.85198,0.99732,1,0.995,0.96906,0.2132,0.38759,0.7938,0.00067213,0.00067213,0.00067213
109,2154.58,0.28816,0.45001,0.85792,0.99731,1,0.995,0.9716,0.22024,0.39766,0.79226,0.000665057,0.000665057,0.000665057
110,2174.33,0.31419,0.4287,0.84527,0.99708,1,0.995,0.9716,0.19702,0.38552,0.78679,0.000657983,0.000657983,0.000657983
111,2194.05,0.29441,0.44999,0.85328,0.99674,1,0.995,0.97414,0.1964,0.37236,0.78558,0.000650909,0.000650909,0.000650909
112,2213.82,0.27596,0.4587,0.87703,0.99665,1,0.995,0.97279,0.213,0.39321,0.78691,0.000643836,0.000643836,0.000643836
113,2233.42,0.28136,0.40253,0.86981,0.99725,1,0.995,0.97228,0.21345,0.38067,0.78409,0.000636762,0.000636762,0.000636762
114,2251.78,0.27735,0.41313,0.87516,0.99683,1,0.995,0.97184,0.19815,0.38885,0.7835,0.000629689,0.000629689,0.000629689
115,2270.19,0.27232,0.37851,0.87315,0.99633,1,0.995,0.97367,0.18847,0.39007,0.78492,0.000622615,0.000622615,0.000622615
116,2288.67,0.25159,0.38397,0.85511,0.99626,1,0.995,0.97722,0.19715,0.38099,0.78468,0.000615542,0.000615542,0.000615542
117,2308.4,0.28985,0.40178,0.87688,0.99647,1,0.995,0.97464,0.19438,0.37186,0.78426,0.000608468,0.000608468,0.000608468
118,2327.98,0.28479,0.3666,0.87554,0.99683,1,0.995,0.97346,0.19853,0.37749,0.78764,0.000601395,0.000601395,0.000601395
119,2347.72,0.25741,0.35565,0.86303,0.9975,1,0.995,0.97658,0.20144,0.37261,0.78637,0.000594321,0.000594321,0.000594321
120,2367.01,0.25031,0.37338,0.86343,0.99684,1,0.995,0.97577,0.19181,0.36825,0.78464,0.000587248,0.000587248,0.000587248
121,2385.99,0.27052,0.38674,0.86291,0.99666,1,0.995,0.97397,0.20212,0.37332,0.78456,0.000580174,0.000580174,0.000580174
122,2405.07,0.27175,0.38157,0.8715,0.99672,1,0.995,0.97416,0.20242,0.37174,0.78281,0.0005731,0.0005731,0.0005731
123,2424.71,0.2799,0.38719,0.89174,0.99724,1,0.995,0.97369,0.20346,0.35126,0.78189,0.000566027,0.000566027,0.000566027
124,2444.42,0.25083,0.37762,0.84593,0.99418,0.99836,0.995,0.97489,0.20405,0.35103,0.78141,0.000558953,0.000558953,0.000558953
125,2463.9,0.28658,0.36443,0.85628,0.99622,0.99916,0.995,0.97975,0.20531,0.34922,0.78099,0.00055188,0.00055188,0.00055188
126,2483.43,0.22889,0.35109,0.85677,0.99735,1,0.995,0.97706,0.20425,0.34296,0.78302,0.000544806,0.000544806,0.000544806
127,2503.31,0.24893,0.36002,0.85652,0.99719,1,0.995,0.97554,0.19561,0.34858,0.78255,0.000537733,0.000537733,0.000537733
128,2522.92,0.29482,0.42925,0.87273,0.99693,1,0.995,0.9673,0.20522,0.35926,0.78264,0.000530659,0.000530659,0.000530659
129,2541.48,0.26193,0.36476,0.85058,0.99671,1,0.995,0.97588,0.20093,0.35713,0.78092,0.000523586,0.000523586,0.000523586
130,2561.08,0.24532,0.35195,0.85461,0.99691,1,0.995,0.97554,0.19186,0.35026,0.7799,0.000516512,0.000516512,0.000516512
131,2580.3,0.22887,0.34808,0.84145,0.997,1,0.995,0.97682,0.18739,0.34271,0.77955,0.000509438,0.000509438,0.000509438
132,2599.21,0.24929,0.3772,0.88018,0.99656,1,0.995,0.9779,0.18199,0.32886,0.77896,0.000502365,0.000502365,0.000502365
133,2618.86,0.20631,0.33468,0.84425,0.99659,1,0.995,0.97494,0.18497,0.32624,0.77889,0.000495291,0.000495291,0.000495291
134,2638.12,0.2072,0.31267,0.80626,0.99652,1,0.995,0.97367,0.18283,0.32148,0.77852,0.000488218,0.000488218,0.000488218
135,2658.04,0.22023,0.3264,0.84844,0.99647,1,0.995,0.97277,0.18489,0.32684,0.779,0.000481144,0.000481144,0.000481144
136,2677.91,0.29403,0.3498,0.91219,0.99613,1,0.995,0.97332,0.1936,0.3288,0.78279,0.000474071,0.000474071,0.000474071
137,2696.85,0.23146,0.33496,0.84649,0.99606,1,0.995,0.97535,0.19766,0.33829,0.7824,0.000466997,0.000466997,0.000466997
138,2716.39,0.22991,0.32559,0.85787,0.99642,1,0.995,0.97556,0.20048,0.34085,0.78289,0.000459924,0.000459924,0.000459924
139,2736.05,0.25553,0.35289,0.87877,0.99678,1,0.995,0.97227,0.18951,0.32272,0.78204,0.00045285,0.00045285,0.00045285
140,2756.01,0.22238,0.31364,0.85975,0.99698,1,0.995,0.97119,0.17436,0.31373,0.78112,0.000445777,0.000445777,0.000445777
141,2775.9,0.20261,0.32067,0.84978,0.99642,1,0.995,0.97186,0.17125,0.31232,0.78059,0.000438703,0.000438703,0.000438703
142,2795.45,0.25318,0.34207,0.86537,0.99573,1,0.995,0.9707,0.17815,0.30677,0.78073,0.000431629,0.000431629,0.000431629
143,2814.91,0.19384,0.29971,0.83013,0.99679,1,0.995,0.97456,0.17141,0.31519,0.7803,0.000424556,0.000424556,0.000424556
144,2833.78,0.20222,0.3209,0.86981,0.99693,1,0.995,0.97405,0.17117,0.31778,0.77979,0.000417482,0.000417482,0.000417482
145,2853.13,0.21199,0.32989,0.79979,0.99706,1,0.995,0.97232,0.17197,0.32573,0.77799,0.000410409,0.000410409,0.000410409
146,2873.5,0.27268,0.36294,0.84307,0.99747,1,0.995,0.97232,0.17223,0.32861,0.7772,0.000403335,0.000403335,0.000403335
147,2893.18,0.2398,0.38578,0.85659,0.99743,1,0.995,0.97232,0.16754,0.31955,0.7774,0.000396262,0.000396262,0.000396262
148,2912.55,0.21763,0.32574,0.83375,0.99727,1,0.995,0.97383,0.16982,0.31846,0.77852,0.000389188,0.000389188,0.000389188
149,2932.08,0.20126,0.30807,0.82452,0.99691,1,0.995,0.97524,0.16568,0.3192,0.77832,0.000382115,0.000382115,0.000382115
150,2950.5,0.19803,0.31133,0.84181,0.99687,1,0.995,0.97508,0.16371,0.31417,0.77769,0.000375041,0.000375041,0.000375041
151,2970.35,0.20911,0.31477,0.84329,0.99674,1,0.995,0.97556,0.16344,0.31669,0.77751,0.000367967,0.000367967,0.000367967
152,2989.03,0.22259,0.3206,0.82937,0.99707,1,0.995,0.96882,0.16165,0.30469,0.77589,0.000360894,0.000360894,0.000360894
153,3008.08,0.21369,0.31955,0.85094,0.99728,1,0.995,0.96932,0.15768,0.30265,0.77469,0.00035382,0.00035382,0.00035382
154,3027.73,0.22734,0.30897,0.84084,0.99713,1,0.995,0.96461,0.1517,0.3032,0.77203,0.000346747,0.000346747,0.000346747
155,3047.85,0.24489,0.32925,0.86473,0.99668,1,0.995,0.96881,0.14646,0.30153,0.77077,0.000339673,0.000339673,0.000339673
156,3066.89,0.1992,0.31381,0.82912,0.99666,0.99959,0.995,0.9641,0.15205,0.29857,0.77122,0.0003326,0.0003326,0.0003326
157,3085.61,0.19873,0.28851,0.80663,0.99545,0.9993,0.995,0.96443,0.15071,0.30003,0.77045,0.000325526,0.000325526,0.000325526
158,3105.41,0.2176,0.32265,0.86434,0.994,0.99869,0.995,0.98157,0.15224,0.30377,0.76902,0.000318453,0.000318453,0.000318453
159,3124.89,0.19544,0.35975,0.81011,0.99274,0.99845,0.995,0.98089,0.15204,0.30461,0.76693,0.000311379,0.000311379,0.000311379
160,3144.17,0.2379,0.35591,0.84761,0.9929,0.99857,0.995,0.97723,0.1506,0.30508,0.76976,0.000304306,0.000304306,0.000304306
161,3163.92,0.19454,0.28783,0.84261,0.99319,0.99878,0.995,0.97436,0.15742,0.30872,0.77218,0.000297232,0.000297232,0.000297232
162,3182.92,0.16773,0.28244,0.82666,0.99338,0.99881,0.995,0.97306,0.15796,0.30591,0.77257,0.000290158,0.000290158,0.000290158
163,3202.46,0.19014,0.33285,0.84177,0.99344,0.99883,0.995,0.983,0.14199,0.29014,0.77023,0.000283085,0.000283085,0.000283085
164,3222.1,0.19484,0.29609,0.86321,0.99438,0.99908,0.995,0.97893,0.12586,0.28203,0.76925,0.000276011,0.000276011,0.000276011
165,3242.29,0.16839,0.28631,0.79893,0.99521,0.99946,0.995,0.97963,0.13009,0.28085,0.76895,0.000268938,0.000268938,0.000268938
166,3261.54,0.18166,0.29717,0.8341,0.99586,0.99996,0.995,0.98015,0.13208,0.28099,0.76769,0.000261864,0.000261864,0.000261864
167,3280.84,0.18434,0.3071,0.82274,0.99621,1,0.995,0.97279,0.1291,0.28122,0.76462,0.000254791,0.000254791,0.000254791
168,3300.22,0.18109,0.29308,0.84781,0.99661,1,0.995,0.97346,0.13009,0.27775,0.7629,0.000247717,0.000247717,0.000247717
169,3319.94,0.18014,0.28078,0.83058,0.99673,1,0.995,0.97592,0.12954,0.27308,0.76135,0.000240644,0.000240644,0.000240644
170,3338.57,0.19681,0.28807,0.84521,0.99707,1,0.995,0.98013,0.12758,0.27081,0.76122,0.00023357,0.00023357,0.00023357
171,3358.11,0.19859,0.31323,0.82798,0.99718,1,0.995,0.98246,0.12716,0.27118,0.76081,0.000226497,0.000226497,0.000226497
172,3377.94,0.1839,0.32334,0.81779,0.99726,1,0.995,0.97577,0.13322,0.27204,0.76483,0.000219423,0.000219423,0.000219423
173,3397.16,0.17634,0.28874,0.8177,0.99724,1,0.995,0.98687,0.12467,0.26538,0.76085,0.000212349,0.000212349,0.000212349
174,3415.78,0.18519,0.29705,0.83373,0.99713,1,0.995,0.98946,0.12234,0.26071,0.7593,0.000205276,0.000205276,0.000205276
175,3435.58,0.18763,0.30303,0.83308,0.99703,1,0.995,0.98946,0.12488,0.26577,0.75908,0.000198202,0.000198202,0.000198202
176,3455.59,0.16245,0.27717,0.81889,0.99695,1,0.995,0.98247,0.12044,0.262,0.75876,0.000191129,0.000191129,0.000191129
177,3475.18,0.16413,0.2736,0.82045,0.99704,1,0.995,0.98033,0.11794,0.25986,0.75976,0.000184055,0.000184055,0.000184055
178,3494.43,0.15669,0.27166,0.81561,0.99714,1,0.995,0.98285,0.11686,0.2647,0.76051,0.000176982,0.000176982,0.000176982
179,3513.95,0.16921,0.28404,0.81684,0.9972,1,0.995,0.98628,0.11743,0.26924,0.75953,0.000169908,0.000169908,0.000169908
180,3533.01,0.19224,0.28014,0.85427,0.99703,1,0.995,0.994,0.12074,0.27072,0.75748,0.000162835,0.000162835,0.000162835
181,3553.14,0.15838,0.28247,0.83868,0.99708,1,0.995,0.994,0.12307,0.26734,0.75795,0.000155761,0.000155761,0.000155761
182,3572.57,0.17899,0.27068,0.85056,0.99709,1,0.995,0.994,0.12352,0.2703,0.75814,0.000148687,0.000148687,0.000148687
183,3591.85,0.16251,0.27607,0.80639,0.99715,1,0.995,0.994,0.12185,0.27041,0.75795,0.000141614,0.000141614,0.000141614
184,3610.43,0.14688,0.27534,0.82128,0.99738,1,0.995,0.995,0.11409,0.26154,0.75694,0.00013454,0.00013454,0.00013454
185,3629.62,0.15281,0.25664,0.8166,0.99738,1,0.995,0.995,0.11228,0.25714,0.75741,0.000127467,0.000127467,0.000127467
186,3648.63,0.19572,0.2862,0.84805,0.99739,1,0.995,0.995,0.11148,0.25219,0.75696,0.000120393,0.000120393,0.000120393
